solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm
2483,RandomSearchUniformBaseline,3108569.40509915,0.05399999999999994,50060.0,200.0,73.05839999999999,6.666666666666667e-05,49560.0,-0.3460000000000001,-6891430.59490085,-299926.9416,-13500.0,0.9460000000000001,15000.0,False,0.023166894912719727,Handheld_Creaform_Go,DL_RetinaNet_Focal
2484,RandomSearchUniformBaseline,3161557.37704918,0.010000000000000009,50060.0,200.0,73.05839999999999,6.666666666666667e-05,49560.0,-0.39,-6838442.62295082,-299926.9416,-13500.0,0.99,15000.0,False,0.023166894912719727,Handheld_Creaform_Go,DL_YOLOv8_Nano
2485,RandomSearchUniformBaseline,4846469.594594595,0.4149999999999999,7560.0,10.0,292.23359999999997,5e-05,7060.0,0.014999999999999902,-5153530.405405405,-299707.7664,-18500.0,0.5850000000000001,20000.0,False,0.023166894912719727,MMS_Basic_Camera,Traditional_Otsu_Enhanced
2486,RandomSearchUniformBaseline,9223750.0,0.17199999999999993,30060.0,10.0,730.584,4e-05,29560.0,-0.2280000000000001,-776250.0,-299269.416,-23500.0,0.8280000000000001,24999.999999999996,False,0.023166894912719727,MMS_ZF_Profiler9020C,DL_YOLOv8_Nano
2487,RandomSearchUniformBaseline,3087735.8490566034,0.06499999999999995,4060.0,200.0,91.323,0.00016666666666666666,3560.0,-0.3350000000000001,-6912264.150943397,-299908.677,-4500.0,0.935,6000.0,False,0.023166894912719727,UAV_Professional_Camera,DL_UNet_Standard
2488,RandomSearchUniformBaseline,679836.4485981308,0.29799999999999993,160.0,10.0,73.05839999999999,0.00016666666666666666,-340.0,-0.10200000000000009,-9320163.551401868,-299926.9416,-4500.0,0.7020000000000001,6000.0,True,0.023166894912719727,Vehicle_Accelerometer_Pro,Edge_TinyYOLO_v4
2489,RandomSearchUniformBaseline,7554130.434782608,0.22599999999999998,10060.0,10.0,127.85220000000001,0.0001,9560.0,-0.17400000000000004,-2445869.5652173916,-299872.1478,-8500.0,0.774,10000.0,False,0.023166894912719727,UAV_Riegl_miniVUX3,DL_RetinaNet_Focal
2490,RandomSearchUniformBaseline,5846571.428571428,0.06499999999999995,9060.0,10.0,116.89344,0.00010526315789473685,8560.0,-0.3350000000000001,-4153428.571428572,-299883.10656,-8000.0,0.935,9500.0,False,0.023166894912719727,UAV_YellowScan_Vx20,DL_UNet_Standard
2491,RandomSearchUniformBaseline,10625304.878048781,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,625304.8780487813,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.023166894912719727,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
2492,RandomSearchUniformBaseline,9331286.764705881,0.127,30060.0,10.0,730.584,4e-05,29560.0,-0.273,-668713.2352941185,-299269.416,-23500.0,0.873,24999.999999999996,False,0.023166894912719727,MMS_ZF_Profiler9020C,DL_YOLOv8_SOTA
