solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm
18,GridSearchBaseline,10489411.764705881,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,489411.7647058815,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
19,GridSearchBaseline,10475076.219512194,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,475076.2195121944,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
20,GridSearchBaseline,10868918.918918919,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,868918.9189189188,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
21,GridSearchBaseline,10574318.181818182,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,574318.1818181816,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
22,GridSearchBaseline,10514754.098360654,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,514754.09836065397,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
23,GridSearchBaseline,10489411.764705881,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,489411.7647058815,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
24,GridSearchBaseline,10475076.219512194,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,475076.2195121944,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
25,GridSearchBaseline,10868918.918918919,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,868918.9189189188,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
26,GridSearchBaseline,10574318.181818182,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,574318.1818181816,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
27,GridSearchBaseline,10514754.098360654,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,514754.09836065397,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
28,GridSearchBaseline,10489411.764705881,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,489411.7647058815,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
29,GridSearchBaseline,10475076.219512194,0.20799999999999996,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.19200000000000006,475076.2195121944,-299342.4744,-28500.0,0.792,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_SAM_Detectron2
30,GridSearchBaseline,818918.9189189189,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9181081.081081081,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
31,GridSearchBaseline,524318.1818181819,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9475681.818181818,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
32,GridSearchBaseline,464754.0983606558,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9535245.901639344,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
33,GridSearchBaseline,439411.7647058824,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9560588.235294119,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
34,GridSearchBaseline,425076.2195121951,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9574923.780487806,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
35,GridSearchBaseline,818918.9189189189,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9181081.081081081,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
36,GridSearchBaseline,524318.1818181819,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9475681.818181818,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
37,GridSearchBaseline,464754.0983606558,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9535245.901639344,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
38,GridSearchBaseline,439411.7647058824,0.244,310.0,10.0,54.7938,0.00025,-190.0,-0.15600000000000003,-9560588.235294119,-299945.2062,-2500.0,0.756,4000.0,True,0.0008504390716552734,Vehicle_Smartphone_System,DL_MaskRCNN_ResNet50
